true_class,predicted_class,error_count,fraction_of_true_class
01_opishnyan_ceramics,03_bubnivka_ceramics,50,0.0998003992015968
03_bubnivka_ceramics,01_opishnyan_ceramics,13,0.06103286384976526
01_opishnyan_ceramics,05_kosiv_ceramics,11,0.021956087824351298
01_opishnyan_ceramics,02_ornek,7,0.013972055888223553
04_petrykivka_painting,02_ornek,4,0.015384615384615385
02_ornek,05_kosiv_ceramics,3,0.00683371298405467
04_petrykivka_painting,05_kosiv_ceramics,3,0.011538461538461539
02_ornek,03_bubnivka_ceramics,2,0.004555808656036446
03_bubnivka_ceramics,02_ornek,2,0.009389671361502348
03_bubnivka_ceramics,05_kosiv_ceramics,2,0.009389671361502348
05_kosiv_ceramics,03_bubnivka_ceramics,2,0.007142857142857143
02_ornek,01_opishnyan_ceramics,1,0.002277904328018223
04_petrykivka_painting,01_opishnyan_ceramics,1,0.0038461538461538464
05_kosiv_ceramics,02_ornek,1,0.0035714285714285713
05_kosiv_ceramics,04_petrykivka_painting,1,0.0035714285714285713
01_opishnyan_ceramics,04_petrykivka_painting,0,0.0
02_ornek,04_petrykivka_painting,0,0.0
03_bubnivka_ceramics,04_petrykivka_painting,0,0.0
04_petrykivka_painting,03_bubnivka_ceramics,0,0.0
05_kosiv_ceramics,01_opishnyan_ceramics,0,0.0
