configuration_id,correction,feature_family,feature_kind,embedding_blocks,required_views,c_value,source_group_exponent,blend_weight
pair_letterbox_cls_patch__c10__source0__blend0p75,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.0,0.75
pair_letterbox_cls_patch__c10__source0__blend1,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.0,1.0
pair_letterbox_cls_patch__c10__source0p5__blend0p25,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.5,0.25
pair_letterbox_cls_patch__c10__source0p5__blend0p5,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.5,0.5
pair_letterbox_cls_patch__c10__source0p5__blend0p75,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.5,0.75
pair_letterbox_cls_patch__c10__source0p5__blend1,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,10.0,0.5,1.0
pair_letterbox_cls_patch__c100__source0__blend0p25,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.0,0.25
pair_letterbox_cls_patch__c100__source0__blend0p5,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.0,0.5
pair_letterbox_cls_patch__c100__source0__blend0p75,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.0,0.75
pair_letterbox_cls_patch__c100__source0__blend1,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.0,1.0
pair_letterbox_cls_patch__c100__source0p5__blend0p25,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.5,0.25
pair_letterbox_cls_patch__c100__source0p5__blend0p5,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.5,0.5
pair_letterbox_cls_patch__c100__source0p5__blend0p75,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.5,0.75
pair_letterbox_cls_patch__c100__source0p5__blend1,pairwise_conditional_logit_blend,pair_letterbox_cls_patch,single_embedding,dinov3_letterbox.embedding__cls_patch_concat,letterbox,100.0,0.5,1.0
pair_three_view_cls_patch_logit_ensemble__c10__source0__blend0p25,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.0,0.25
pair_three_view_cls_patch_logit_ensemble__c10__source0__blend0p5,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.0,0.5
pair_three_view_cls_patch_logit_ensemble__c10__source0__blend0p75,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.0,0.75
pair_three_view_cls_patch_logit_ensemble__c10__source0__blend1,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.0,1.0
pair_three_view_cls_patch_logit_ensemble__c10__source0p5__blend0p25,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.5,0.25
pair_three_view_cls_patch_logit_ensemble__c10__source0p5__blend0p5,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.5,0.5
pair_three_view_cls_patch_logit_ensemble__c10__source0p5__blend0p75,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.5,0.75
pair_three_view_cls_patch_logit_ensemble__c10__source0p5__blend1,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,10.0,0.5,1.0
pair_three_view_cls_patch_logit_ensemble__c100__source0__blend0p25,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.0,0.25
pair_three_view_cls_patch_logit_ensemble__c100__source0__blend0p5,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.0,0.5
pair_three_view_cls_patch_logit_ensemble__c100__source0__blend0p75,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.0,0.75
pair_three_view_cls_patch_logit_ensemble__c100__source0__blend1,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.0,1.0
pair_three_view_cls_patch_logit_ensemble__c100__source0p5__blend0p25,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.5,0.25
pair_three_view_cls_patch_logit_ensemble__c100__source0p5__blend0p5,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.5,0.5
pair_three_view_cls_patch_logit_ensemble__c100__source0p5__blend0p75,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.5,0.75
pair_three_view_cls_patch_logit_ensemble__c100__source0p5__blend1,pairwise_conditional_logit_blend,pair_three_view_cls_patch_logit_ensemble,centered_logit_ensemble,dinov3_center.embedding__cls_patch_concat|dinov3_letterbox.embedding__cls_patch_concat|dinov3_global.embedding__cls_patch_concat,center_crop|letterbox|global_fivecrop,100.0,0.5,1.0
