true_class,predicted_class,error_count,fraction_of_true_class
01_opishnyan_ceramics,03_bubnivka_ceramics,46,0.09181636726546906
03_bubnivka_ceramics,01_opishnyan_ceramics,18,0.08450704225352113
01_opishnyan_ceramics,05_kosiv_ceramics,8,0.015968063872255488
01_opishnyan_ceramics,02_ornek,5,0.00998003992015968
04_petrykivka_painting,02_ornek,3,0.011538461538461539
02_ornek,01_opishnyan_ceramics,2,0.004555808656036446
02_ornek,03_bubnivka_ceramics,2,0.004555808656036446
05_kosiv_ceramics,02_ornek,2,0.007142857142857143
01_opishnyan_ceramics,04_petrykivka_painting,1,0.001996007984031936
02_ornek,05_kosiv_ceramics,1,0.002277904328018223
03_bubnivka_ceramics,05_kosiv_ceramics,1,0.004694835680751174
04_petrykivka_painting,01_opishnyan_ceramics,1,0.0038461538461538464
04_petrykivka_painting,05_kosiv_ceramics,1,0.0038461538461538464
05_kosiv_ceramics,03_bubnivka_ceramics,1,0.0035714285714285713
05_kosiv_ceramics,04_petrykivka_painting,1,0.0035714285714285713
02_ornek,04_petrykivka_painting,0,0.0
03_bubnivka_ceramics,02_ornek,0,0.0
03_bubnivka_ceramics,04_petrykivka_painting,0,0.0
04_petrykivka_painting,03_bubnivka_ceramics,0,0.0
05_kosiv_ceramics,01_opishnyan_ceramics,0,0.0
